"","Gender","P1","P2","P3","P4","P5","P6","P7","P8","TotalSpending"
"3","Male",37298,23139,2203,1712,767,2308,1668,4470,116137578.709656
"2","Female",3278,2073,150,178,66,224,162,400,10034713.404206
